Település;Körzet;Év;Jogi_státusz;Nyaraló;Típus;Altípus;Panelprogram;Ingatlan_állapota;Építés_éve;Zárószint;Emelet;Tájolás;Kilátás;Lift;Lakáson_belüli_szintszám;Fűtés;Nettó_méret;Terasz_méret;Erkély_méret;Telek_méret;Telek_méret_mértékegysége;Szobaszám;Eladási_ár;Négyzetméterár
Miskolc;Győri kapu;2018;hasznalt;0;tarsashazi;panel;1;4;1980;4;4;DK;udvari;0;1;tavegyedi;55;0;3;0;nm;1 + 2;9730000;176909.09
Székesfehérvár;Királykút;2018;hasznalt;0;tarsashazi;panel;0;5;1972;4;4;DK;utcai;0;0;tav;46;0;0;0;nm;1 + 1;14000000;304347.83
Miskolc;Miskolc;2018;hasznalt;0;ikerhaz;tegla;0;4;1960;;;NY;;0;0;gaz_konvektor;70;0;0;220;nm;1 + 1;9800000;140000.00
Pécs;Kertváros;2018;hasznalt;0;csaladihaz;tegla;0;3;1970;;;D;;0;1;gaz_konvektor;72;4;0;337;nm;2 + 1;18000000;250000.00
Győr;Győrszabadhegy;2018;uj;0;tarsashazi;tegla;0;5;2018;1;1;K;udvari;1;0;gaz_cirko;47;0;5.50;0;nm;2 + 0;16300000;346808.51
Sopron;Belváros-külső;2018;hasznalt;0;tarsashazi;tegla;0;5;2003;2;földszint;NY;utcai;0;0;gaz_cirko;69;0;0;0;nm;2 + 1;29000000;420289.86
Zalaegerszeg;Landorhegy;2018;hasznalt;0;tarsashazi;csusztatott_zsalus;0;4;1986;4;1;K;udvari;0;0;hazkozponti_meresnelkul;43;0;0;0;nm;1 + 0;12000000;279069.77
Zalaegerszeg;Egerszeghegy;2018;hasznalt;0;csaladihaz;tegla;0;3;1977;;;K;;0;1;faszen_kalyha;30;15;0;1424;nm;1 + 0;1900000;63333.33
Debrecen;Liget Lakópark;2018;hasznalt;0;sorhaz;tegla;0;3;1983;;;NY;;0;1;gaz_cirko;140;0;9;467;nm;5 + 1;33000000;235714.29
Zalaegerszeg;Belváros;2018;hasznalt;0;tarsashazi;csusztatott_zsalus;0;4;1981;10;8;D;utcai;1;1;hazkozponti_meresnelkul;58;0;4.80;0;nm;1 + 2;12500000;215517.24
Pécs;Patacs;2018;hasznalt;0;csaladihaz;tegla;0;1;1950;;;DK;;0;1;gaz_konvektor;56;0;0;881;nm;1 + 1;7500000;133928.57
Pécs;Patacs;2018;hasznalt;0;csaladihaz;tegla;0;3;1960;;;ÉK;;0;0;vegyes_cirko;60;15;0;1240;nm;2 + 0;5500000;91666.67
Zalaegerszeg;Belváros;2018;hasznalt;0;tarsashazi;csusztatott_zsalus;0;4;1987;10;2;NY;utcai;1;0;hazkozponti_meresnelkul;45;0;4;0;nm;1 + 1;12300000;273333.33
Győr;Győr-Sziget;2018;hasznalt;0;tarsashazi;tegla;0;4;2006;2;2;NY;udvari;0;0;gaz_cirko;49.97;0;0;0;nm;2 + 0;18700000;374224.53
Debrecen;Belváros;2018;uj;0;tarsashazi;tegla;0;5;2018;3;2;DNY;udvari;1;0;megujulo;89;0;7;0;nm;2 + 2;32000000;359550.56
Tatabánya;Kertváros;2018;hasznalt;0;tarsashazi;tegla;0;4;1980;1;földszint;K;udvari;0;0;gaz_cirko;53;0;0;0;nm;2 + 0;12600000;237735.85
Miskolc;Belváros;2018;hasznalt;0;tarsashazi;panel;0;5;1986;10;3;É;utcai;1;0;tav;64;0;4;0;nm;2 + 1;13990000;218593.75
Debrecen;Kertváros;2018;hasznalt;0;tarsashazi;tegla;0;5;2015;6;6;NY;udvari;1;0;hazkozponti;48;0;4;0;nm;2 + 0;18000000;375000.00
Szolnok;Tallinnvárosrész;2018;uj;0;tarsashazi;tegla;0;5;2019;2;1;;udvari;0;1;gaz_cirko;99.09;0;6.61;0;nm;4 + 0;32000000;322938.74
Debrecen;Tócóskert;2018;hasznalt;0;tarsashazi;panel;1;4;1980;10;10;NY;utcai;1;0;tavegyedi;54;0;3;0;nm;2 + 0;15500000;287037.04
Tatabánya;Sárberki ltp.;2018;hasznalt;0;tarsashazi;panel;0;3;1975;4;földszint;DK;utcai;0;0;tavegyedi;49;0;0;0;nm;2 + 0;14500000;295918.37
Szombathely;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;2;1972;;2;;utcai;0;1;gaz_konvektor;60;0;0;0;nm;2 + 0;12500000;208333.33
Kecskemét;Muszáj;2018;hasznalt;0;tarsashazi;tegla;0;2;1950;Földszintes;földszint;DK;utcai;0;0;gaz_konvektor;82;0;0;0;nm;2 + 1;9250000;112804.88
Érd;Érd;2018;hasznalt;0;csaladihaz;tegla;;4;1980;;;K;;0;1;egyeb;120;10;0;748;nm;3 + 0;22000000;183333.33
Kecskemét;;2018;hasznalt;0;sorhaz;tegla;0;4;1960;Földszintes;földszint;K;kertre_nezo;0;0;vegyes_cserepkalyha;74;0;0;150;nm;2 + 0;11000000;148648.65
Szeged;Rókus;2018;hasznalt;0;tarsashazi;tegla;0;4;1950;2;2;ÉK;utcai;0;0;vegyes_fancoil;90;0;10;0;nm;3 + 0;20000000;222222.22
Debrecen;Belváros;2018;hasznalt;0;tarsashazi;tegla;;5;2008;2;1;NY;udvari;0;1;gaz_cirko;79;20;0;0;nm;3 + 1;30000000;379746.84
Érd;Tusculánum;2018;hasznalt;0;csaladihaz;tegla;0;4;1986;;;DK;;0;1;gaz_cirko;144;12;10;709;nm;6 + 0;29990000;208263.89
Debrecen;Belváros;2018;uj;0;tarsashazi;tegla;0;5;2019;3;1;NY;utcai;0;0;gaz_cirko;64;0;5;0;nm;2 + 1;32090000;501406.25
Debrecen;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;4;1920;4;2;NY;utcai;1;0;tavegyedi;102;0;3.50;0;nm;2 + 1;33500000;328431.37
Tatabánya;Erőmű ltp.;2018;hasznalt;0;csaladihaz;tegla;0;4;1930;;;DK;;0;0;tavegyedi;88;0;0;1044;nm;2 + 1;17500000;198863.64
